"ncca_site_id","low_inc_buf","min_inc","max_inc","low_inc_buf5","min_inc5","max_inc5","SITE_ID","NCCA_REG","CHLA","CHLA_COND","DIN","DIN_COND","DIP","DIP_COND","DO","DO_COND","LIGHT_TRANS","SECCHI_FINAL","TRANS_COND","CAT_WQI","ERL_TOT","ERM_TOT","LRM_STATUS","MERMQ","MERMQ_STATUS","MPECQ","NCA_SCI_STATUS","NCA_SQI_STATUS","NCA_SQI_STATUS_NOTOC","NCA_TOX_STATUS","NCCA_SCI_STATUS","NCCA_SQI_STATUS","PEC_STATUS","PR_MAX","SIG_TEST","NCCA_TOX_STATUS","TISSUE_STATUS","NCA_BI","NCA_BI_STATUS","OTI","OTI_STATUS","NCCA_BI_STATUS","NCCA_BI_TYPE","nearestBlock","distToNearestBlock","OBJECTID","ID","STATE_NAME","ST_ABBREV","REGION","ACSTOTPOP","D_PM25_2","B_PM25_D2","P_PM25_D2","D_OZONE_2","B_OZONE_D2","P_OZONE_D2","D_DSLPM_2","B_DSLPM_D2","P_DSLPM_D2","D_CANCR_2","B_CANCR_D2","P_CANCR_D2","D_RESP_2","B_RESP_D2","P_RESP_D2","D_PTRAF_2","B_PTRAF_D2","P_PTRAF_D2","D_LDPNT_2","B_LDPNT_D2","P_LDPNT_D2","D_PNPL_2","B_PNPL_D2","P_PNPL_D2","D_PRMP_2","B_PRMP_D2","P_PRMP_D2","D_PTSDF_2","B_PTSDF_D2","P_PTSDF_D2","D_PWDIS_2","B_PWDIS_D2","P_PWDIS_D2","PM25","B_PM25","P_PM25","OZONE","B_OZONE","P_OZONE","DSLPM","B_DSLPM","P_DSLPM","CANCER","B_CANCR","P_CANCR","RESP","B_RESP","P_RESP","PTRAF","B_PTRAF","P_PTRAF","PRE1960PCT","B_LDPNT","P_LDPNT","PNPL","B_PNPL","P_PNPL","PRMP","B_PRMP","P_PRMP","PTSDF","B_PTSDF","P_PTSDF","PWDIS","B_PWDIS","P_PWDIS","VULEOPCT","B_VULEOPCT","P_VULEOPCT","MINORPCT","B_MINORPCT","P_MINORPCT","LOWINCPCT","B_LWINCPCT","P_LWINCPCT","LINGISOPCT","B_LNGISPCT","P_LNGISPCT","LESSHSPCT","B_LESHSPCT","P_LESHSPCT","UNDER5PCT","B_UNDR5PCT","P_UNDR5PCT","OVER64PCT","B_OVR64PCT","P_OVR64PCT","T_MINORPCT","T_LWINCPCT","T_LNGISPCT","T_LESHSPCT","T_UNDR5PCT","T_OVR64PCT","T_VULEOPCT","T_PM25","T_PM25_D2","T_OZONE","T_OZONE_D2","T_DSLPM","T_DSLPM_D2","T_CANCR","T_CANCR_D2","T_RESP","T_RESP_D2","T_PTRAF","T_PTRAF_D2","T_LDPNT","T_LDPNT_D2","T_PNPL","T_PNPL_D2","T_PRMP","T_PRMP_D2","T_PTSDF","T_PTSDF_D2","T_PWDIS","T_PWDIS_D2","Shape_Length","Shape_Area","gini","gini5","low_inc_buf_coast1","gini_coast1","low_minor_buf","dist_to_coast","dist_to_coast","minor_shore","low_inc_shore"
59,0.265777119022003,0.251020408163265,0.337338262476894,0.250669428162697,0,0.788609543355567,"NCCA10-1111","West",3.34,"GOOD",0.014,"GOOD",0.028,"GOOD",6.8,"GOOD",52.9,NA,"GOOD","GOOD",2,1,"FAIR",0.088414285,"GOOD",NA,"POOR","POOR","POOR","GOOD","FAIR","FAIR","",0.593535704,"NO","GOOD","Fair",1.050866498,"GOOD",NA,"","GOOD","NCA_BI",60730076001,0,26700,60730076001,"California","CA",9,554,-20.303164082137,4,32,-89.3750132579382,4,32,-1.06292680964457,4,32,-63.0632107776637,4,32,-0.88581689787866,4,32,-1418.2959690972,4,30,-0.320070669738427,3,27,-0.037905950747636,4,32,-0.317196525146599,4,32,-8.30439797160389,4,31,-0.002421861930235,2,12,9.25070109589041,3,21,40.7218071895425,3,21,0.484299795,7,60,28.7333989269468,3,21,0.403603463716964,2,12,646.216127818609,5,40,0.145833333333333,5,44,0.017271033160316,1,7,0.144523791016785,2,12,3.78372075927883,5,43,0.001103469425824,8,72,0.350239445958888,4,32,0.449458483754512,3,29,0.251020408163265,5,43,0,2,17,0.042553191489362,3,21,0.034296028880866,3,22,0.115523465703971,5,49,"45% (29%ile)","25% (43%ile)","0% (17%ile)","4% (21%ile)","3% (22%ile)","12% (49%ile)","35% (32%ile)","9.25 ug/m3 (21%ile)","32%ile","40.7 ppb (21%ile)","32%ile","0.484 ug/m3 (60%ile)","32%ile","29 lifetime risk per million (21%ile)","32%ile","0.4  (12%ile)","32%ile","650 daily vehicles/meters distance (40%ile)","30%ile","0.15 = fraction pre-1960 (44%ile)","27%ile","0.017 facilities/km distance (7%ile)","32%ile","0.14 facilities/km distance (12%ile)","32%ile","3.8 facilities/km distance (43%ile)","31%ile","0.0011 toxicity-weighted concentration/meters distance (72%ile)","12%ile",18339.5105886998,15847424.9578083,0.086317854313629,0.788609543355567,0.361624105271419,0.351485624924816,0.105385107576976,80.76432109,80.76432109,0.456456436,0.262157325
60,0.140433902070446,0.099290780141844,1,0.197971789612889,0,1,"NCCA10-1119","West",2.45,"GOOD",0.02,"GOOD",0.026,"GOOD",7,"GOOD",50.98,NA,"GOOD","GOOD",3,1,"FAIR",0.1491879,"FAIR",NA,"POOR","POOR","POOR","GOOD","FAIR","FAIR","",0.584671753,"NO","GOOD","Fair",1.038343263,"GOOD",NA,"","GOOD","NCA_BI",60730071001,24.5725864559059,26674,60730071001,"California","CA",9,1551,-3727.91352317839,1,4,-16258.3350702656,1,5,-216.56218489241,1,1,-12429.7216301708,1,4,-174.099415474897,1,5,-304400.050058209,1,6,-183.102978686105,1,1,-6.1594513389465,3,21,-175.65564455675,1,5,-2236.03078930983,1,2,NA,0,NA,9.10655506849315,2,18,39.7158954248366,2,18,0.529018565,7,65,30.3633503855218,3,26,0.425290421721713,2,18,743.58908850003,5,43,0.447284345047923,8,70,0.015046320806819,1,5,0.42909198142662,5,41,5.46218075904701,6,55,NA,0,NA,0.090264345583494,1,0,0.081237911025145,1,1,0.099290780141844,2,14,0,2,17,0.012386457473163,1,6,0.021276595744681,2,11,0.279174725983236,10,94,"8% (1%ile)","10% (14%ile)","0% (17%ile)","1% (6%ile)","2% (11%ile)","28% (94%ile)","9% (0%ile)","9.11 ug/m3 (18%ile)","4%ile","39.7 ppb (18%ile)","5%ile","0.529 ug/m3 (65%ile)","1%ile","30 lifetime risk per million (26%ile)","4%ile","0.43  (18%ile)","5%ile","740 daily vehicles/meters distance (43%ile)","6%ile","0.45 = fraction pre-1960 (70%ile)","1%ile","0.015 facilities/km distance (5%ile)","21%ile","0.43 facilities/km distance (41%ile)","5%ile","5.5 facilities/km distance (55%ile)","2%ile","","",5884.35315988966,1070049.47133477,0.900709219858156,1,0.131682299279391,0.922028766086298,0.219927452894867,52.11684126,52.11684126,0.106314124,0.136438782
61,0.251020408163265,0.251020408163265,0.251020408163265,0.259380224125673,0.007612456747405,0.737614678899082,"NCCA10-1123","West",3.82,"GOOD",0.009,"GOOD",0.03,"GOOD",5.6,"GOOD",64.09,NA,"GOOD","GOOD",4,0,"GOOD",0.073913325,"GOOD",NA,"GOOD","GOOD","GOOD","GOOD","GOOD","GOOD","",0.446355301,"NO","GOOD","Good",1.256082962,"GOOD",NA,"","GOOD","NCA_BI",60730076001,0,26700,60730076001,"California","CA",9,554,-20.303164082137,4,32,-89.3750132579382,4,32,-1.06292680964457,4,32,-63.0632107776637,4,32,-0.88581689787866,4,32,-1418.2959690972,4,30,-0.320070669738427,3,27,-0.037905950747636,4,32,-0.317196525146599,4,32,-8.30439797160389,4,31,-0.002421861930235,2,12,9.25070109589041,3,21,40.7218071895425,3,21,0.484299795,7,60,28.7333989269468,3,21,0.403603463716964,2,12,646.216127818609,5,40,0.145833333333333,5,44,0.017271033160316,1,7,0.144523791016785,2,12,3.78372075927883,5,43,0.001103469425824,8,72,0.350239445958888,4,32,0.449458483754512,3,29,0.251020408163265,5,43,0,2,17,0.042553191489362,3,21,0.034296028880866,3,22,0.115523465703971,5,49,"45% (29%ile)","25% (43%ile)","0% (17%ile)","4% (21%ile)","3% (22%ile)","12% (49%ile)","35% (32%ile)","9.25 ug/m3 (21%ile)","32%ile","40.7 ppb (21%ile)","32%ile","0.484 ug/m3 (60%ile)","32%ile","29 lifetime risk per million (21%ile)","32%ile","0.4  (12%ile)","32%ile","650 daily vehicles/meters distance (40%ile)","30%ile","0.15 = fraction pre-1960 (44%ile)","27%ile","0.017 facilities/km distance (7%ile)","32%ile","0.14 facilities/km distance (12%ile)","32%ile","3.8 facilities/km distance (43%ile)","31%ile","0.0011 toxicity-weighted concentration/meters distance (72%ile)","12%ile",18339.5105886998,15847424.9578083,0,0.730002222151677,0.361010828323864,0.173658224984363,0.0831833441158054,72.73499982,72.73499982,0.449458484,0.251020408
62,0.0512772756377644,0,0.236842105263157,0.173829023524612,0,1,"NCCA10-1127","West",6.13,"FAIR",0.01,"GOOD",0.028,"GOOD",6.8,"GOOD",57.98,NA,"GOOD","GOOD",2,0,"GOOD",0.054631247,"GOOD",NA,"GOOD","GOOD","GOOD","GOOD","GOOD","GOOD","",0.413503996,NA,"GOOD","Fair",1.319185326,"GOOD",NA,"","GOOD","NCA_BI",60730062001,285.24448311688,26658,60730062001,"California","CA",9,23,-29.4264995215864,4,32,-128.623013703945,4,32,-2.23818649877554,4,31,-110.343342096743,4,32,-2.03667380931038,4,32,-4391.79796991248,3,28,0,4,38,-0.047917826992799,4,32,-4.30469318758107,4,31,-27.6088339602869,3,29,-4.12613193e-07,2,14,9.35176301369863,3,25,40.8764875816993,3,21,0.711297302,9,81,35.0671946104646,5,44,0.647256422290582,8,79,1395.71659852154,6,59,0,2,10,0.015228320372912,1,5,1.36803463515632,8,74,8.77410757238577,8,72,1.31128774e-07,6,53,0.217391304347826,2,12,0.434782608695652,3,28,0,1,0,0,2,17,0,1,3,0,1,4,0,1,0,"43% (28%ile)","0% (0%ile)","0% (17%ile)","0% (3%ile)","0% (4%ile)","0% (0%ile)","22% (12%ile)","9.35 ug/m3 (25%ile)","32%ile","40.9 ppb (21%ile)","32%ile","0.711 ug/m3 (81%ile)","31%ile","35 lifetime risk per million (44%ile)","32%ile","0.65  (79%ile)","32%ile","1400 daily vehicles/meters distance (59%ile)","28%ile","0 = fraction pre-1960 (10%ile)","38%ile","0.015 facilities/km distance (5%ile)","32%ile","1.4 facilities/km distance (74%ile)","31%ile","8.8 facilities/km distance (72%ile)","29%ile","0.00000013 toxicity-weighted concentration/meters distance (53%ile)","14%ile",15922.2072618512,4598096.42502393,0.236842105263157,1,0.0922964573253485,0.221780268627053,0.54023914206798,340.9707027,340.9707027,0.397417361,0.098740025
63,0.333597705901267,0.13984962406015,0.523563218390804,0.350322903473113,0.132575757575757,0.523563218390804,"NCCA10-1133","Southeast",9.79,"FAIR",0.03,"GOOD",0.043,"FAIR",6.8,"GOOD",26.36,NA,"GOOD","FAIR",1,0,"GOOD",0.029526405,"GOOD",NA,"GOOD","GOOD","GOOD","GOOD","GOOD","GOOD","",0.322471056,NA,"GOOD","Poor",1.5,"POOR",NA,"","POOR","NCA_BI",370319708011,0,143955,370319708011,"North Carolina","NC",4,1330,-1966.24150354404,3,28,-10748.43635,3,27,-39.8603546595678,4,35,-10357.9247708864,3,21,-210.379799813936,2,12,NA,0,NA,-31.7319440592545,2,16,-13.788768805992,3,24,-23.2510670568792,4,37,-19.4755379285632,5,45,-0.000106405540164,3,26,6.88490052054795,1,4,37.6362287581699,1,4,0.1395731786,1,7,36.2688314321176,7,66,0.7366561994755,11,99,NA,0,NA,0.111111111111111,6,53,0.048282116596042,6,53,0.081414863532616,2,14,0.068194644951107,1,7,3.7258473e-07,5,49,0.139473684210526,2,11,0.139097744360902,3,23,0.13984962406015,2,15,0,6,52,0.111510791366906,6,51,0,1,4,0.163157894736842,7,60,"14% (23%ile)","14% (15%ile)","0% (52%ile)","11% (51%ile)","0% (4%ile)","16% (60%ile)","14% (11%ile)","6.88 ug/m3 (4%ile)","28%ile","37.6 ppb (4%ile)","27%ile","0.14 ug/m3 (7%ile)","35%ile","36 lifetime risk per million (66%ile)","21%ile","0.74  (99%ile)","12%ile","","","0.11 = fraction pre-1960 (53%ile)","16%ile","0.048 facilities/km distance (53%ile)","24%ile","0.081 facilities/km distance (14%ile)","37%ile","0.068 facilities/km distance (7%ile)","45%ile","0.00000037 toxicity-weighted concentration/meters distance (49%ile)","26%ile",33656.8921120305,26862207.2822304,0.383713594330654,0.390987460815047,0.0568124195850632,0.035889184719801,0.0760184962351494,378.3314749,378.3314749,0.150847948,0.339706802
64,0.357482185273159,0.357482185273159,0.357482185273159,0.373735961089008,0.287418655097613,0.53853046594982,"NCCA10-1141","Southeast",3.04,"GOOD",0.031,"GOOD",0.089,"POOR",6.3,"GOOD",50.75,NA,"GOOD","FAIR",2,0,"FAIR",0.055845161,"GOOD",NA,"GOOD","GOOD","GOOD","GOOD","FAIR","FAIR","",0.538530964,NA,"GOOD","Poor",5,"GOOD",NA,"","GOOD","NCA_BI",370319702001,613.000710188007,143915,370319702001,"North Carolina","NC",4,842,-940.144954083316,5,43,-5674.20179715712,5,41,-16.0355202637682,5,48,-2686.12307862156,5,47,-32.7260172677913,5,48,NA,0,NA,-35.7388472486663,2,15,-4.03844799389448,5,42,-4.03844799389448,6,52,-21.3819544185157,5,44,-0.000915144700407,3,24,6.36362416438356,1,0,38.4073620915033,1,8,0.1085407349109,1,2,18.1817470352659,1,0,0.221514856177056,1,0,NA,0,NA,0.24190800681431,8,78,0.027335322206362,4,30,0.027335322206362,1,0,0.144729513495167,3,23,6.194403218e-06,6,55,0.17874109263658,2,19,0,1,1,0.357482185273159,6,53,0,6,52,0.136824324324324,7,60,0.041567695961995,4,33,0.352731591448931,11,97,"0% (1%ile)","36% (53%ile)","0% (52%ile)","14% (60%ile)","4% (33%ile)","35% (97%ile)","18% (19%ile)","6.36 ug/m3 (0%ile)","43%ile","38.4 ppb (8%ile)","41%ile","0.109 ug/m3 (2%ile)","48%ile","18 lifetime risk per million (0%ile)","47%ile","0.22  (0%ile)","48%ile","","","0.24 = fraction pre-1960 (78%ile)","15%ile","0.027 facilities/km distance (30%ile)","42%ile","0.027 facilities/km distance (0%ile)","52%ile","0.14 facilities/km distance (23%ile)","44%ile","0.0000062 toxicity-weighted concentration/meters distance (55%ile)","24%ile",15347.6115713418,12014754.9729372,0,0.251111810852207,NA,NA,NA,847.4124437,847.4124437,0,0.357482185
65,NA,NA,NA,NA,NA,NA,"NCCA10-1149","Southeast",7.51,"FAIR",0.019,"GOOD",0.01,"GOOD",2.7,"FAIR",39.17,NA,"GOOD","FAIR",3,1,"FAIR",0.10063985,"FAIR",NA,"POOR","POOR","POOR","GOOD","FAIR","FAIR","",0.588843261,"NO","GOOD","Poor",3.5,"GOOD",NA,"","GOOD","NCA_BI",370959201002,16969.4857506621,146046,370959201002,"North Carolina","NC",4,988,363.62049398311,7,60,2129.87508840253,7,60,6.46105405342005,6,58,1116.81463318697,6,59,13.8446484873708,6,58,NA,0,NA,6.47131064597141,7,66,0.770743894354512,6,58,1.27701960212414,6,57,0.949570556278411,6,56,NA,0,NA,6.60228049315069,1,0,38.6722777777778,1,9,0.1173137703951,1,3,20.278074501208,1,0,0.251378165299292,1,0,NA,0,NA,0.1175,6,55,0.013994446031274,1,6,0.02318692633663,1,0,0.017241413133547,1,0,NA,0,NA,0.409945036367892,7,64,0.374493927125506,6,58,0.445396145610278,7,68,0,6,52,0.207792207792207,9,80,0.062753036437247,6,58,0.247975708502024,9,87,"37% (58%ile)","45% (68%ile)","0% (52%ile)","21% (80%ile)","6% (58%ile)","25% (87%ile)","41% (64%ile)","6.6 ug/m3 (0%ile)","60%ile","38.7 ppb (9%ile)","60%ile","0.117 ug/m3 (3%ile)","58%ile","20 lifetime risk per million (0%ile)","59%ile","0.25  (0%ile)","58%ile","","","0.12 = fraction pre-1960 (55%ile)","66%ile","0.014 facilities/km distance (6%ile)","58%ile","0.023 facilities/km distance (0%ile)","57%ile","0.017 facilities/km distance (0%ile)","56%ile","","",90010.4846578904,428279242.554907,NA,NA,NA,NA,NA,16427.87697,16427.87697,NA,NA
66,0.218797878334798,0.142574257425742,0.492724867724867,0.323393598895958,0.091482649842271,0.492724867724867,"NCCA10-1159","Southeast",10.96,"FAIR",0.029,"GOOD",0.05,"FAIR",7.1,"GOOD",21.47,NA,"GOOD","FAIR",1,0,"GOOD",0.009365869,"GOOD",NA,"GOOD","GOOD","GOOD","GOOD","GOOD","GOOD","",0.157644853,NA,"GOOD","Fair",4.5,"GOOD",NA,"","GOOD","NCA_BI",370319706021,0,143942,370319706021,"North Carolina","NC",4,1065,-1326.98197040763,4,37,-7566.42006317448,4,36,-45.5660335153521,4,33,-5159.21173995184,4,37,-81.0550317082615,4,34,-56177.6579873582,2,11,-12.7851130432842,4,31,-10.51969804472,3,28,-10.51969804472,5,47,-31.3549072712369,5,40,NA,0,NA,6.64407208219178,1,0,37.8843431372549,1,7,0.22814478111,4,37,25.831680800456,1,8,0.40583480808605,3,21,281.276172096044,8,76,0.06401384083045,4,38,0.052671124137837,6,58,0.052671124137837,1,4,0.156991028277907,3,25,NA,0,NA,0.166666666666666,2,16,0.147417840375586,3,24,0.185915492957746,3,21,0,6,52,0.068771138669673,4,34,0.046948356807512,5,40,0.297652582159624,10,93,"15% (24%ile)","19% (21%ile)","0% (52%ile)","7% (34%ile)","5% (40%ile)","30% (93%ile)","17% (16%ile)","6.64 ug/m3 (0%ile)","37%ile","37.9 ppb (7%ile)","36%ile","0.228 ug/m3 (37%ile)","33%ile","26 lifetime risk per million (8%ile)","37%ile","0.41  (21%ile)","34%ile","280 daily vehicles/meters distance (76%ile)","11%ile","0.064 = fraction pre-1960 (38%ile)","31%ile","0.053 facilities/km distance (58%ile)","28%ile","0.053 facilities/km distance (4%ile)","47%ile","0.16 facilities/km distance (25%ile)","40%ile","","",15515.8716217579,9226073.36491972,0.350150610299125,0.401242217882596,0.142574257425742,0,0.023941068139963,275.1724274,275.1724274,0.124768325,0.261036427
67,0.347357434866962,0.22707423580786,0.536430834213305,0.362821628644991,0.206176598521096,0.536430834213305,"NCCA10-1162","Southeast",13.63,"FAIR",0.005,"GOOD",0.013,"FAIR",4.6,"FAIR",34.25,NA,"GOOD","FAIR",2,0,"GOOD",0.045455767,"GOOD",NA,"GOOD","POOR","GOOD","GOOD","GOOD","GOOD","",0.466666704,NA,"GOOD","Missing",2.5,"FAIR",NA,"","FAIR","NCA_BI",370499601011,0,144295,370499601011,"North Carolina","NC",4,1374,-1837.15471948743,4,30,-9912.80265580445,4,30,-38.2270313857111,4,36,-7171.06865243004,4,30,-104.714811888342,3,28,-26648.2396629383,2,19,-17.325654419754,3,27,-11.8658525927631,3,26,-47.3218174929875,3,24,-27.1558697448504,5,41,-0.099470661385222,2,14,7.04775457534247,1,8,38.0278261437908,1,7,0.1466478204,1,9,27.5098941690439,2,12,0.401710474770514,3,20,102.228871100032,6,55,0.066465256797583,4,39,0.045520181840927,6,50,0.181537544014134,6,51,0.104176258652331,2,15,0.000381592688658,8,74,0.164483260553129,2,16,0.101892285298398,2,16,0.22707423580786,3,29,0.013114754098361,7,60,0.077933450087566,4,38,0.01018922852984,1,6,0.416302765647743,11,98,"10% (16%ile)","23% (29%ile)","1% (60%ile)","8% (38%ile)","1% (6%ile)","42% (98%ile)","16% (16%ile)","7.05 ug/m3 (8%ile)","30%ile","38 ppb (7%ile)","30%ile","0.147 ug/m3 (9%ile)","36%ile","28 lifetime risk per million (12%ile)","30%ile","0.4  (20%ile)","28%ile","100 daily vehicles/meters distance (55%ile)","19%ile","0.066 = fraction pre-1960 (39%ile)","27%ile","0.046 facilities/km distance (50%ile)","26%ile","0.18 facilities/km distance (51%ile)","24%ile","0.1 facilities/km distance (15%ile)","41%ile","0.00038 toxicity-weighted concentration/meters distance (74%ile)","14%ile",60809.4366171955,78340658.7214652,0.309356598405445,0.330254235692209,0.10479770342116,0.051091607583471,0.0480915013429269,19.28116249,19.28116249,0.141073194,0.348713253
68,0.3511885754677,0.329091960670908,0.374802319451766,0.308672404546607,0.040094339622642,0.52008032128514,"NCCA10-1187","Southeast",6.42,"FAIR",0.081,"GOOD",0.02,"FAIR",4.1,"FAIR",5.03,NA,"POOR","FAIR",1,0,"GOOD",0.021976173,"GOOD",NA,"GOOD","GOOD","GOOD","GOOD","GOOD","GOOD","",0.354947194,NA,"GOOD","Poor",1,"POOR",NA,"","POOR","NCA_BI",370190204052,0,143498,370190204052,"North Carolina","NC",4,1729,-2135.48539327794,3,26,-11288.9670806582,3,26,-47.4599401963421,4,32,-7366.28589844457,3,29,-121.11073398422,3,25,-162.642894991124,5,48,-19.0426219647777,3,25,-8.01720190162149,4,32,-20.5862952798611,4,39,-34.6962180749097,4,39,NA,0,NA,7.01507545205479,1,7,37.0842882352941,1,0,0.15590603545,2,12,24.1982696494474,1,5,0.397849097740217,2,18,0.534282362077884,2,10,0.062555066079295,4,37,0.026336530528969,3,29,0.067626037209662,1,9,0.113977172806988,2,18,NA,0,NA,0.178137651821862,2,19,0.027183342972817,1,4,0.329091960670908,5,47,0,6,52,0.139970059880239,7,62,0.050896471949104,5,44,0.373626373626373,11,97,"3% (4%ile)","33% (47%ile)","0% (52%ile)","14% (62%ile)","5% (44%ile)","37% (97%ile)","18% (19%ile)","7.02 ug/m3 (7%ile)","26%ile","37.1 ppb (0%ile)","26%ile","0.156 ug/m3 (12%ile)","32%ile","24 lifetime risk per million (5%ile)","29%ile","0.4  (18%ile)","25%ile","0.53 daily vehicles/meters distance (10%ile)","48%ile","0.063 = fraction pre-1960 (37%ile)","25%ile","0.026 facilities/km distance (29%ile)","32%ile","0.068 facilities/km distance (9%ile)","39%ile","0.11 facilities/km distance (18%ile)","39%ile","","",38954.1408592309,26477088.1879987,0.045710358780858,0.479985981662498,0.07106271636847,0.288997621048266,0.018040336424904,70.04133857,70.04133857,0.085272489,0.353142866
