UID,UNIQUE_ID,SITE_ID,VISIT_NO,YEAR,PSTL_CODE,AG_ECO9,AG_ECO3,EPA_REG,MAJ_BASIN,MAJ_BAS_NM,MISS_BASIN,HUC2,HUC2_NM,LAT_DD83,LON_DD83,FRAME07,FRAME12,FRAME17,AREA_CAT6,SITETYPE,LAKE_ORGN,TNT_CAT,URBN_NLA17,URBN_NLA07,WGT_TP,XCOORD,YCOORD,ACID_COND,DIS_O2_CLS,PTL_COND,NTL_COND,CHLA_COND,TROPHIC_STATE,ATZ_EPA_COND_3.4,ATZ_DETECT,CYLSPER_EPA_COND,CYLSPER_DETECT,MICX_EPA_COND,MICX_DETECT,ECOLI_EPA_COND,ECOLI_DETECT,BENT_MMI_COND_2017,ZOOP_MMI_COND_2017,DRAWDOWN_COND_2CAT_2017,LITRIPCVR_COND,LITCVR_COND,RVEG_COND,RDIS_COND,NLA_SCI_STATUS,ANC_RESULT,DOC_RESULT,SULFATE_RESULT,ANC_MDL,DOC_MDL,SULFATE_MDL,ANC_NARS_FLAG,DOC_NARS_FLAG,SULFATE_NARS_FLAG,NTL_RESULT,NTL_MDL,NTL_NARS_FLAG,PTL_RESULT,PTL_MDL,PTL_NARS_FLAG,CHLA_RESULT,CHLA_MDL,CHLA_NARS_FLAG,CYLSPER_RESULT,CYLSPER_MDL,CYLSPER_NARS_FLAG,MICX_RESULT,MICX_MDL,MICX_NARS_FLAG,ATRAZINE_RESULT,ATRAZINE_MDL,ATRAZINE_NARS_FLAG,DO_SURF,MMI_ZOOP_2017,MMI_BENT,BFXHORIZDIST_DD,BFXVERTHEIGHT_DD,LitCvrQc3OE,LitRipCvrQc3OE,RDis_IX,RVegQc3OE,B_G_DENS,MEAN_METAL_PEC_Q,MEAN_PEC_Q,TOTAL_PAH13_PEC_Q,E_COLI_NARS_FLAG,E_COLI_PRESENT,E_COLI_RESULT,PUBLICATION_DATE
2010177,NLA_NV-10109,NLA17_NV-10018,1,2017,NV,XER,WMTNS,Region_09,H16,Great Basin Region,NOT_MISSISSIPPI_BASIN,H16,Great Basin Region,39.54188,-119.7789,Include,Include,Include,"(4,10]",PROB,MAN_MADE,Target,Urban,Urban,13.166523,-2004013.063,480890.626,Good,High (>=5 ppm),Poor,Poor,Good,Mesotrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,Fair,Good,Not Large,Good,Good,Good,Poor,Moderately Disturbed,2496.93,7.72,1004.914,NA,0.008,0.001,NA,NA,NA,1.343,0.003,NA,92.325,1.2,NA,5.19,0.39,NA,NA,0.05,ND,NA,0.1,ND,0.03,0.03,L,6.366666667,63.7,35.9,0,NA,1.174754223,1.008143831,0.904761905,0.977226706,21343,0.433734732,0.227439734,0.021144737,ND,A,NA,6/3/2022
2010178,NLA_NV-10178,NLA17_NV-10036,1,2017,NV,XER,WMTNS,Region_09,H16,Great Basin Region,NOT_MISSISSIPPI_BASIN,H16,Great Basin Region,39.4578,-119.7898,Exclude,Exclude,Include,"(1,4]",PROB,MAN_MADE,Target,Urban,Urban,25.89020213,-2007246.67,471991.4777,Good,High (>=5 ppm),Poor,Fair,Poor,Eutrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,Fair,Poor,Not Large,Good,Good,Good,Poor,Least Disturbed,2681.74,7.12,20.639,NA,0.008,0.001,NA,NA,NA,0.9,0.003,NA,234.695,1.2,NA,12.16,0.39,NA,NA,0.05,ND,NA,0.1,ND,NA,0.03,ND,9.3,37.32,33.4,0,NA,3.112569505,1.513814303,0.851190476,0.873471049,85305,0.161323614,0.081903035,0.002482456,H;ND,A,NA,6/3/2022
2010179,NLA_ND-10100,NLA17_ND-10011,1,2017,ND,NPL,PLNLOW,Region_08,H10,Missouri Region,MISSISSIPPI_BASIN,H10U,Upper Missouri Region,47.17341,-99.77111,Include,Include,Include,"(20,50]",PROB,NATURAL,Target,Non-Urban,Non-Urban,34.01193575,-287304.2941,1085789.637,Good,High (>=5 ppm),Fair,Poor,Good,Mesotrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,At or Below Benchmark,Not Detected,Fair,Good,Not Large,Poor,Fair,Poor,Poor,Least Disturbed,9739.84,27.17,1229.337,NA,0.008,0.001,NA,NA,NA,2.75,0.003,NA,63.3475,1.2,NA,6.14,0.39,NA,NA,0.05,ND,0.447,0.1,NA,NA,0.03,ND,10.12,39.75,27.2,1.07,0.18,0.30730197,0.204438929,0.937888199,0.191588063,242800,0.119330338,0.060369116,0.001407895,ND,A,NA,6/3/2022
2010180,NLA_NV-10066,NLA17_NV-10242,1,2017,NV,XER,WMTNS,Region_09,H16,Great Basin Region,NOT_MISSISSIPPI_BASIN,H16,Great Basin Region,38.69493,-118.7144,Include,Include,Include,>50,PROB,NATURAL,Target,Non-Urban,Non-Urban,6.187382727,-1938529.67,366708.7284,Good,High (>=5 ppm),Poor,Poor,Good,Oligotrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,At or Below Benchmark,Not Detected,Poor,Good,Large,Poor,Fair,Poor,Fair,Moderately Disturbed,99001.42,62.55,5666.998,NA,0.008,0.001,H,NA,NA,2.323,0.003,NA,700.47,1.2,NA,0.6,0.39,NA,NA,0.05,ND,0.248,0.1,NA,NA,0.03,ND,7.363333333,73.58,30.8,176.7777778,3,0.314525525,0.197026571,0.490196078,0.153711737,6010,0.416717162,0.208970423,0.001223684,H;ND,A,NA,6/3/2022
2010181,NLA_OH-10072,NLA17_OH-10016,1,2017,OH,NAP,EHIGH,Region_05,H04,Great Lakes Region,NOT_MISSISSIPPI_BASIN,H04,Great Lakes Region,41.49185,-81.17701,Include,Include,Include,"(1,4]",PROB,MAN_MADE,Target,Urban,Urban,388.8399074,1223325.974,542866.3672,Good,High (>=5 ppm),Poor,Poor,Poor,Hypereutrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,Poor,Poor,Not Large,Good,Poor,Good,Fair,Moderately Disturbed,1125.87,6.92,6.15,NA,0.008,0.001,NA,NA,NA,1.735,0.003,NA,170.41125,1.2,NA,305.28,0.39,NA,NA,0.05,ND,NA,0.1,ND,0.04,0.03,L,5.92,55.02,28.2,0,NA,0.354723992,0.893596572,0.3875,1.069426742,19500,0.301259358,0.160489328,0.019719298,H,P,12.2,6/3/2022
2010182,NLA_TN-10029,NLA17_TN-10003,1,2017,TN,SAP,EHIGH,Region_04,H05_06,Ohio-Tennessee Region,MISSISSIPPI_BASIN,H06,Tennessee Region,35.67353,-87.03213,Include,Include,Include,"(20,50]",PROB,MAN_MADE,Target,Urban,Urban,54.6737393,803439.045,-166666.5276,Good,High (>=5 ppm),Poor,Poor,Poor,Hypereutrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,At or Below Benchmark,Detected,Poor,Poor,Not Large,Fair,Fair,Fair,Fair,Moderately Disturbed,1063.05,3.9,0.392,NA,0.008,0.001,NA,NA,NA,1.278,0.003,NA,463.12625,1.2,NA,52.16,0.39,NA,NA,0.05,ND,5.12,1,NA,NA,0.03,ND,8.533333333,45.13,23.8,0,NA,0.516142934,0.687850026,0.73173456,0.744227677,1007320,0.244734036,0.12316307,0.001592105,NA,P,4.1,6/3/2022
2010183,NLA_AZ-10008,NLA17_AZ-10004,1,2017,AZ,WMT,WMTNS,Region_09,H14_15,Upper Colorado-Lower Colorado Region,NOT_MISSISSIPPI_BASIN,H15,Lower Colorado Region,34.60431,-112.4386,Include,Include,Include,>50,PROB,MAN_MADE,Target,Urban,Urban,3.107260326,-1488184.641,-195215.2504,Good,High (>=5 ppm),Poor,Poor,Fair,Mesotrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,Poor,Fair,Not Large,Good,Good,Good,Fair,Moderately Disturbed,3023.51,10.59,11.077,NA,0.008,0.001,NA,NA,NA,0.615,0.003,NA,192.115,1.2,NA,2.64,0.39,NA,NA,0.05,ND,NA,0.1,ND,NA,0.03,ND,7.3,54.48,26.8,0,NA,4.868956646,1.948328987,0.435897436,1.340074896,8053,0.408281455,0.205324938,0.002368421,H;ND,A,NA,6/3/2022
2010184,NLA_MI-10091,NLA17_MI-10011,1,2017,MI,UMW,PLNLOW,Region_05,H04,Great Lakes Region,NOT_MISSISSIPPI_BASIN,H04,Great Lakes Region,43.37318,-86.14407,Include,Include,Include,"(20,50]",PROB,NATURAL,Target,Urban,Urban,254.8460214,793470.1685,698774.4109,Good,High (>=5 ppm),Good,Good,Good,Mesotrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,Fair,Good,Not Large,Good,Good,Fair,Fair,Moderately Disturbed,1914.31,5.29,3.605,NA,0.008,0.001,NA,NA,NA,0.52,0.003,NA,12.9225,1.2,NA,2.74,0.39,NA,NA,0.05,ND,NA,0.1,ND,0.04,0.03,L,10.92333333,70.92,42.6,0,NA,1.328435463,0.919272108,0.664864865,0.760860181,27800,0.234494189,0.132097972,0.029701754,ND,A,NA,6/3/2022
2010185,NLA_ND-10085,NLA17_ND-10015,1,2017,ND,NPL,PLNLOW,Region_08,H10,Missouri Region,MISSISSIPPI_BASIN,H10U,Upper Missouri Region,47.08001,-99.73059,Include,Include,Include,"(4,10]",PROB,NATURAL,Target,Non-Urban,Non-Urban,350.3578579,-284624.3059,1075344.447,Good,High (>=5 ppm),Good,Poor,Good,Eutrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,At or Below Benchmark,Detected,Good,Good,Not Large,Fair,Good,Poor,Fair,Least Disturbed,7774.69,17.13,6.736,NA,0.008,0.001,NA,NA,NA,1.866,0.003,NA,49.725,1.2,NA,9.34,0.39,NA,NA,0.05,ND,0.61,0.1,NA,0.03,0.03,L,9.9,54,40.5,0,NA,1.026695216,0.435985825,0.382608696,0.223938544,2571600,0.186797652,0.094515054,0.002232456,NA,P,4.1,6/3/2022
2010186,NLA_CA-10183,NLA17_CA-10064,1,2017,CA,XER,WMTNS,Region_09,H18,California Region,NOT_MISSISSIPPI_BASIN,H18,California Region,38.08325,-122.5184,Include,Include,Include,"(20,50]",PROB,MAN_MADE,Target,Urban,Urban,11.15019333,-2274217.338,384747.3213,Good,High (>=5 ppm),Poor,Fair,Poor,Eutrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,Poor,Poor,Not Large,Good,Fair,Good,Poor,Moderately Disturbed,2190.2,4,961.796,NA,0.008,0.001,NA,NA,NA,0.701,0.003,NA,362.0075,1.2,NA,9.95,0.39,NA,NA,0.05,ND,NA,0.1,ND,NA,0.03,ND,7.016666667,30.83,16.6,0,0,0.398428177,0.759996797,0.832352941,0.887262833,175000,0.802552214,0.407482247,0.012412281,H,P,65.7,6/3/2022
