"UNIQUE_ID","EPA_REG","LAT_DD83","LON_DD83","PTL_COND","NTL_COND","CHLA_COND","TROPHIC_STATE","ATZ_EPA_COND_3.4","ATZ_DETECT","CYLSPER_EPA_COND","CYLSPER_DETECT","MICX_EPA_COND","MICX_DETECT","ECOLI_EPA_COND","ECOLI_DETECT","BENT_MMI_COND_2017","ZOOP_MMI_COND_2017","DRAWDOWN_COND_2CAT_2017","LITRIPCVR_COND","LITCVR_COND","RVEG_COND","RDIS_COND","NLA_SCI_STATUS","distToNearestBlock","low_minor_buf","low_inc_buf","min_inc","max_inc"
"NLA_NV-10109","Region_09",39.54188,-119.7789,"Poor","Poor","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Fair","Good","Not Large","Good","Good","Good","Poor","Moderately Disturbed",0,0.708431543522261,0.532951598498783,0.330202312138728,0.774086378737541
"NLA_NV-10178","Region_09",39.4578,-119.7898,"Poor","Fair","Poor","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Fair","Poor","Not Large","Good","Good","Good","Poor","Least Disturbed",0,0.284274519145173,0.173507095971081,0.137211036539895,0.472962066182405
"NLA_ND-10100","Region_08",47.17341,-99.77111,"Fair","Poor","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","Fair","Good","Not Large","Poor","Fair","Poor","Poor","Least Disturbed",0,0.032133676092545,0.212082262210796,0.212082262210796,0.212082262210796
"NLA_NV-10066","Region_09",38.69493,-118.7144,"Poor","Poor","Good","Oligotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","Poor","Good","Large","Poor","Fair","Poor","Fair","Moderately Disturbed",NA,NA,NA,NA,NA
"NLA_OH-10072","Region_05",41.49185,-81.17701,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Poor","Poor","Not Large","Good","Poor","Good","Fair","Moderately Disturbed",0,0.0409055994562814,0.291594288781719,0.271844660194174,0.29159802306425
"NLA_TN-10029","Region_04",35.67353,-87.03213,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Poor","Poor","Not Large","Fair","Fair","Fair","Fair","Moderately Disturbed",0,0.267590027700831,0.551246537396121,0.551246537396121,0.551246537396121
"NLA_AZ-10008","Region_09",34.60431,-112.4386,"Poor","Poor","Fair","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Poor","Fair","Not Large","Good","Good","Good","Fair","Moderately Disturbed",0,0.108007561668223,0.355132871380537,0.288798370672097,0.388736263736263
"NLA_MI-10091","Region_05",43.37318,-86.14407,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Fair","Good","Not Large","Good","Good","Fair","Fair","Moderately Disturbed",0,0.0729880488299991,0.246863795495182,0.157062146892655,0.438336520076481
"NLA_ND-10085","Region_08",47.08001,-99.73059,"Good","Poor","Good","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Fair","Good","Poor","Fair","Least Disturbed",0,0.032133676092545,0.212082262210796,0.212082262210796,0.212082262210796
"NLA_CA-10183","Region_09",38.08325,-122.5184,"Poor","Fair","Poor","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Poor","Poor","Not Large","Good","Fair","Good","Poor","Moderately Disturbed",0,0.130871415199705,0.126724396655352,0.104607250755287,0.137952176578786
