UNIQUE_ID,ACSTOTPOP,ACSIPOVBAS,MINORPCT,LOWINCOME,LOWINCPCT,LESSHS,LESSHSPCT,LINGISO,LINGISOPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,PRE1960,PRE1960PCT,VULEOPCT,VULEO,DISPEO,DSLPM,CANCER,RESP,PTRAF,PWDIS,PNPL,PRMP,PTSDF,OZONE,PM25,D_LDPNT_2,D_DSLPM_2,D_CANCR_2,D_RESP_2,D_PTRAF_2,D_PWDIS_2,D_PNPL_2,D_PRMP_2,D_PTSDF_2,D_OZONE_2,D_PM25_2,P_MINORPCT,P_LWINCPCT,P_LESHSPCT,P_LNGISPCT,P_UNDR5PCT,P_OVR64PCT,P_LDPNT,P_VULEOPCT,P_DSLPM,P_CANCR,P_RESP,P_PTRAF,P_PWDIS,P_PNPL,P_PRMP,P_PTSDF,P_OZONE,P_PM25,P_LDPNT_D2,P_DSLPM_D2,P_CANCR_D2,P_RESP_D2,P_PTRAF_D2,P_PWDIS_D2,P_PNPL_D2,P_PRMP_D2,P_PTSDF_D2,P_OZONE_D2,P_PM25_D2
NLA_IA-10004,1004,0,0.089641434,0,0.183516484,0,0.088590604,0,0,0,0.02689243,0,0.227091633,0,0.499176277,0.136578959,0,0,0.114514628,16.37353358,0.20196197,1.409084117,0.000128008,0.010161304,0.187128827,0.065309162,41.26914118,6.902006466,-109.06635,-25.02060508,-3577.496822,-44.12720697,-307.8745299,-0.02796871,-2.220170203,-40.88627413,-14.26957212,-9017.004225,-1508.037717,53,29,67,66,14,81,60,33,0,1,1,12,55,3,12,25,4,1,23,65,54,56,71,35,70,72,61,46,50
NLA_WA-10004,698,0,0.028653295,0,0.285100287,0,0.105454545,0,0.003236246,0,0.075931232,0,0.173352436,0,0.695767196,0.156876791,0,0,0.073314851,21.34991761,0.331914673,NA,1.48E-07,0.017028832,2.059065543,0.024769607,44.78653072,10.33813753,-95.82967556,-10.09782937,-2940.57508,-45.71539973,NA,-2.03E-05,-2.345421601,-283.600009,-3.411577045,-6168.55571,-1423.896343,1,59,70,43,68,68,93,20,5,3,9,NA,59,5,93,1,85,83,9,67,60,59,NA,26,66,6,70,47,44
NLA_UT-10001,1584.26491,0,0.162422554,0,0.269412298,0,0.118537974,0,0.001892413,0,0.079188182,0,0.115583738,0,0.283739575,0.215917426,0,0,0.205727409,17.38784099,0.244966595,73.06595627,3.147130027,0.01745516,0.499643181,0.332305051,50.25455882,8.566073205,-59.28003826,-44.20006648,-3735.738132,-52.63051633,-16767.37968,-722.1704466,-3.789289331,-113.2770141,-75.12285032,-10797.07779,-1840.401367,47.3551765,54.48379215,76.51620785,54.06448235,48.6131059,63.1613804,78.2579294,50.80655295,20,14,16,18.41965885,79.00034905,18.8710353,50.42000789,38.806902,0,89,16.51620785,60.06448235,58.4193098,58.4193098,61.8062039,14.45137645,60.4193098,39.6124078,48.6448235,56.77413725,48.48379215
NLA_WY-10001,1529,0,0.086330935,0,0.219060225,0,0.056273764,0,0,0,0.022890778,0,0.386527142,0,0.228390724,0.15269558,0,0,0.013137502,9.835396119,0.107235895,24.60799603,NA,0.005457826,0.01220152,0.009079316,49.44524444,4.476637945,-70.36763386,-4.04769045,-3030.305003,-33.03959135,-7581.772261,NA,-1.681567002,-3.75931252,-2.797355091,-15234.17764,-1379.261008,34,40,45,71,15,99,62,31,0,0,0,28,NA,35,3,2,37,5,23,82,53,61,61,NA,51,81,78,34,43
NLA_OK-10002,1033,0,0.186834463,0,0.291384318,0,0.030967742,0,0.018987342,0,0.062923524,0,0.179090029,0,0.505050505,0.23910939,0,0,0.105568866,24.79665426,0.330219624,45.16392389,2.94E-07,0.012158891,1.276336537,0.043870491,46.55828824,7.219414658,-60.04533452,-12.55105733,-2948.068332,-39.25973259,-5369.528178,-3.50E-05,-1.445567711,-151.7433475,-5.215752234,-5535.303823,-858.3144929,19,38,12,72,48,69,83,27,3,1,2,36,37,15,88,8,47,3,4,45,41,41,33,35,45,11,49,37,40
NLA_IL-10002,1041,0,0.048991354,0,0.236381323,0,0.053594771,0,0.006578947,0,0.06820365,0,0.199807877,0,0.449640288,0.142686339,0,0,0.217066972,24.22752236,0.301519292,12.27865222,3.94E-05,0.040114618,1.410160004,0.09531419,45.51587582,8.646524932,-99.00489782,-47.79530199,-5334.582867,-66.39059605,-2703.59828,-0.008669199,-8.832713161,-310.4987495,-20.98693542,-10021.99927,-1903.851458,12,46,36,46,63,77,55,21,7,14,13,7,35,35,73,7,14,17,16,46,39,39,53,42,36,11,54,34,35
NLA_WI-10006,1452.355744,0,0.045234118,0,0.219446958,0,0.034821882,0,0,0,0.04675957,0,0.230345779,0,0.256334513,0.132340538,0,0,0.140008929,17.5729898,0.206968843,NA,0.008544293,0.036022991,0.083921255,0.071433364,40.45751503,6.274009178,-82.56774038,-45.09913406,-5660.54342,-66.66800223,NA,-2.752395999,-11.60341116,-27.03106201,-23.00980997,-13032.01806,-2020.959539,24.9060425,42.89750091,26.92312568,61,39.98718761,83.98291682,42.01708318,32.88895932,14,12,12,NA,85.9957292,21.0042708,13.02135398,14,36,20,32.99145841,52.00854159,39.00854159,41.00854159,NA,8.004270796,51,62.98718761,63.0042708,33.01281239,37.00854159
NLA_MO-10006,1573,0,0.040686586,0,0.382802548,0,0.103103103,0,0,0,0.068658614,0,0.11252384,0,0.272131148,0.211744567,0,0,0.165159686,26.03822906,0.34064907,0.049297732,1.27E-05,0.015402272,0.560231249,0.054502767,43.56346144,7.281388795,-60.98028128,-37.00967055,-5834.754846,-76.33406289,-11.0468412,-0.002834943,-3.451405219,-125.5389522,-12.2132072,-9761.88193,-1631.643936,20,62,58,72,63,28,61,48,13,9,7,7,36,16,66,13,15,0,20,55,48,48,70,48,59,24,62,44,47
NLA_MN-10015,1036,0,0.014478764,0,0.3503861,0,0.11299435,0,0,0,0.048262548,0,0.186293436,0,0.296437659,0.182432432,0,0,0.133561094,16.11723489,0.197293513,12.89786843,NA,0.035675966,0.056606077,0.038597824,37.28557255,5.871573726,-52.75178271,-23.76751273,-2868.100078,-35.10884743,-2295.206201,NA,-6.348622538,-10.07318532,-6.868574021,-6635.055842,-1044.860435,4,76,81,55,34,71,58,53,19,8,11,16,NA,33,7,10,13,9,41,66,66,67,68,NA,60,77,74,60,63
NLA_GA-10001,1662,0,0.41456077,0,0.444170265,0,0.137745975,0,0.056384743,0,0.078820698,0,0.129963899,0,0.207282913,0.429365518,0,0,0.134989163,38.88684068,0.586640003,23.77543541,1.34E-06,0.034928875,0.051833618,0.046196908,34.9915634,9.606252055,25.89444903,16.86328093,4857.869366,73.28495838,2970.103956,0.000167076,4.3634276,6.475222424,5.771066482,4371.258784,1200.043942,48,66,60,83,70,56,81,57,4,27,50,22,39,86,5,3,15,58,73,51,54,55,53,66,66,49,49,54,55
NLA_LA-10001,1102,0,0.395644283,0,0.468239564,0,0.381414702,0,0.06557377,0,0.038112523,0,0.16061706,0,0.118461538,0.431941924,0,0,0.18465966,34.68315828,0.456641554,NA,0.016510554,0.069987117,0.107446701,0.085813169,34.99430784,7.660061918,10.14864265,15.81985954,2971.318657,39.1206463,NA,1.414465075,5.995821468,9.204997531,7.351645063,2997.974951,656.2402622,55,65,96,90,26,63,48,60,14,9,1,NA,84,63,18,15,24,0,62,55,56,56,NA,85,65,55,54,58,57
